objectID,bikeRouteName,Geom
226804,Seaside,"{""coordinates"": [[-123.12325527636317, 49.29126812312763], [-123.123409401047, 49.29122506159834], [-123.12373822027753, 49.29100982000495], [-123.12401972434847, 49.29082555812903], [-123.12460122535506, 49.2905977552067], [-123.12526776884226, 49.29045988619793], [-123.12578565133299, 49.29050294119094], [-123.125785692683, 49.29050297802611], [-123.12585135414761, 49.29056429763419], [-123.12585672068082, 49.290566098018544], [-123.12599333562459, 49.290611983701105], [-123.12599338928753, 49.29061199533629], [-123.1262238614224, 49.29065247212689], [-123.12627134195773, 49.29064166203707], [-123.12627335959651, 49.29064120197847], [-123.12631872076422, 49.29063087452681], [-123.12656633484887, 49.290692661229045], [-123.12658586712972, 49.290697534103344], [-123.1265860528984, 49.290697578875694], [-123.12718388855582, 49.291092362452375], [-123.12723600734368, 49.29117536732127], [-123.12723603906646, 49.291175403267], [-123.12733587754965, 49.29123986867711], [-123.12748474695218, 49.291269476731415], [-123.12780995000458, 49.291479356966406], [-123.12843139708389, 49.291880415331924]], ""type"": ""LineString""}"
226822,Cassiar,"{""coordinates"": [[-123.02830778990091, 49.28859962001321], [-123.02830778991996, 49.288599653295336], [-123.02830712542627, 49.28889458061598]], ""type"": ""LineString""}"
226823,Cassiar,"{""coordinates"": [[-123.02608800404121, 49.29102339346531], [-123.02608796555347, 49.29102342855514], [-123.02596565680724, 49.29154624493771], [-123.0260357596898, 49.29158822216986], [-123.02603044463231, 49.29182636842573], [-123.02603986984775, 49.292125256560915], [-123.02604236915221, 49.292204463771114], [-123.02604255650476, 49.2922102880944], [-123.02606330963009, 49.29286859589431]], ""type"": ""LineString""}"
226852,Cypress,"{""coordinates"": [[-123.14793348571968, 49.268936071893414], [-123.14794999118547, 49.2684921736143]], ""type"": ""LineString""}"
226911,Smithe,"{""coordinates"": [[-123.11654524588734, 49.27715596483292], [-123.11703212054965, 49.27747102382578]], ""type"": ""LineString""}"
226920,Burrard,"{""coordinates"": [[-123.14565489468302, 49.26648474294949], [-123.14565491369386, 49.26648419691668], [-123.14566173571684, 49.266301214181]], ""type"": ""LineString""}"
226922,Burrard Bridge,"{""coordinates"": [[-123.1341860572506, 49.27635854017757], [-123.13578711310743, 49.275835440924766], [-123.13578749770508, 49.27583531454019]], ""type"": ""LineString""}"
226923,Burrard Bridge,"{""coordinates"": [[-123.13578749770508, 49.27583531454019], [-123.13592337397375, 49.275790948830526]], ""type"": ""LineString""}"
226952,10th Ave,"{""coordinates"": [[-123.07945362427951, 49.261446756375435], [-123.07880326246755, 49.261441408868606]], ""type"": ""LineString""}"
226974,Cardero,"{""coordinates"": [[-123.12862748856983, 49.29186574650034], [-123.1286265178349, 49.29186581954218], [-123.12843139708389, 49.291880415331924]], ""type"": ""LineString""}"
226976,Seaside,"{""coordinates"": [[-123.14856507308843, 49.294459857074735], [-123.14868321996244, 49.2946404709544], [-123.14874695948554, 49.29471728224998], [-123.14880764285617, 49.294796255383616], [-123.14894406027196, 49.294920362155125], [-123.14899243685294, 49.294964372474844], [-123.14920584137819, 49.29514279406319], [-123.14944477826147, 49.29532540996087], [-123.14970595774547, 49.29551213252038], [-123.14979423146356, 49.29556103814464], [-123.1497943015871, 49.295561031757146], [-123.14992725429528, 49.295561129196486], [-123.15003662170665, 49.29560265642326], [-123.15006417701817, 49.29561312069199], [-123.15006422384822, 49.2956131431191], [-123.150420840599, 49.295869048673744], [-123.15043191808158, 49.29587187132685], [-123.15065328494703, 49.29592828212682], [-123.15087346904023, 49.29587188847179]], ""type"": ""LineString""}"
